Rank,Player,Position,2010 Team,2011 Team,Reference,Year,2012 Team,Rank Change,2013 Team,2014 Team,2015 Team,2015 team,2016 team,Rank change,2017 team,Year accomplishments,2018 team,2019 team,2020 team
65,Jason Pierre-Paul,Outside linebacker,,,[65],2018.0,,,,,,,,NR,,,Tampa Bay Buccaneers,,
66,Eric Ebron,Tight end,,,[66],2018.0,,,,,,,,NR,,- 1st Pro Bowl selection,Indianapolis Colts,,
67,Dee Ford,Defensive end,,,[67],2018.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - Ed Block Courage Award",Kansas City Chiefs,San Francisco 49ers,
68,Phillip Lindsay,Running back,,,[68],2018.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - PFWA All-Rookie Team (2018)",Denver Broncos,,
69,Matt Ryan,Quarterback,,,[69],2018.0,,,,,,,,40,,,Atlanta Falcons,,
70,T. Y. Hilton,Wide receiver,,,[70],2018.0,,,,,,,,NR,,,Indianapolis Colts,,
71,C. J. Mosley,Linebacker,,,[71],2018.0,,,,,,,,27,,"- 4th Pro Bowl selection
   - 4th Second-team All-Pro selection",Baltimore Ravens,New York Jets,
72,Jason Kelce,Center,,,[72],2018.0,,,,,,,,NR,,- 2nd First-team All-Pro selection,Philadelphia Eagles,,
73,Stefon Diggs,Wide receiver,,,[73],2018.0,,,,,,,,8,,,Minnesota Vikings,,
74,Leighton Vander Esch,Linebacker,,,[74],2018.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - 1st Second-team All-Pro selection
   - PFWA All-Rookie Team (2018)",Dallas Cowboys,,
75,Gerald McCoy,Defensive tackle,,,[75],2018.0,,,,,,,,NR,,,Tampa Bay Buccaneers,Carolina Panthers,
76,Robert Woods,Wide receiver,,,[76],2018.0,,,,,,,,NR,,,Los Angeles Rams,,
77,Taylor Lewan,Offensive tackle,,,[77],2018.0,,,,,,,,1,,- 3rd Pro Bowl selection,Tennessee Titans,,
78,Kirk Cousins,Quarterback,,,[78],2018.0,,,,,,,,16,,"- 4 consecutive seasons with 4000+ passing yards
   - 1st player ever to change teams after 3 consecutive 4000+ passing 
   yards seasons, then post another 4000+ yard season with a new team.",Minnesota Vikings,,
79,Geno Atkins,Defensive tackle,,,[79],2018.0,,,,,,,,16,,- 7th Pro Bowl selection,Cincinnati Bengals,,
80,Mark Ingram II,Running back,,,[80],2018.0,,,,,,,,37,,,New Orleans Saints,Baltimore Ravens,
81,Trent Williams,Offensive tackle,,,[81],2018.0,,,,,,,,24,,- 7th Pro Bowl selection,Washington Redskins,,
82,Bradley Chubb,Outside linebacker,,,[82],2018.0,,,,,,,,NR,,- PFWA All-Rookie Team (2018),Denver Broncos,,
83,Harrison Smith,Strong safety,,,[83],2018.0,,,,,,,,37,,"- 4th Pro Bowl selection
   - 1st Second-team All-Pro selection",Minnesota Vikings,,
84,Jarvis Landry,Wide receiver,,,[84],2018.0,,,,,,,,32,,- 4th Pro Bowl selection,Cleveland Browns,,
85,Frank Clark,Defensive end,,,[85],2018.0,,,,,,,,NR,,,Seattle Seahawks,Kansas City Chiefs,
86,Darius Slay,Cornerback,,,[86],2018.0,,,,,,,,37,,- 2nd Pro Bowl selection,Detroit Lions,,
87,Cam Newton,Quarterback,,,[87],2018.0,,,,,,,,62,,,Carolina Panthers,,
88,Cameron Heyward,Defensive end,,,[88],2018.0,,,,,,,,40,,- 2nd Pro Bowl selection,Pittsburgh Steelers,,
89,Devin McCourty,Free safety,,,[89],2018.0,,,,,,,,NR,,- Super Bowl champion (3rd time),New England Patriots,,
90,Julian Edelman,Wide receiver,,,[90],2018.0,,,,,,,,NR,,"- Super Bowl champion (3rd time)
   - Super Bowl LIII MVP",New England Patriots,,
91,Andrew Whitworth,Offensive tackle,,,[91],2018.0,,,,,,,,4,,- Built Ford Tough Offensive Line of the Year,Los Angeles Rams,,
92,Jurrell Casey,Defensive end,,,[92],2018.0,,,,,,,,26,,- 4th Pro Bowl selection[2],Tennessee Titans,,
93,T. J. Watt,Outside linebacker,,,[93],2018.0,,,,,,,,NR,,- 1st Pro Bowl selection[2],Pittsburgh Steelers,,
94,Mitchell Schwartz,Offensive tackle,,,[94],2018.0,,,,,,,,NR,,- 1st First-team All-Pro selection[3],Kansas City Chiefs,,
95,Kyle Fuller,Cornerback,,,[95],2018.0,,,,,,,,NR,,"- 1st Pro Bowl selection[2]
   - 1st First-Team All-Pro selection[4]
   - NFL interceptions co-leader[5]",Chicago Bears,,
96,Carson Wentz,Quarterback,,,[96],2018.0,,,,,,,,93,,,Philadelphia Eagles,,
97,Byron Jones,Cornerback,,,[97],2018.0,,,,,,,,NR,,"- 1st Pro Bowl selection[2]
   - 1st Second-team All-Pro selection[6]",Dallas Cowboys,,
98,Tyler Lockett,Wide receiver,,,[98],2018.0,,,,,,,,NR,,,Seattle Seahawks,,
99,Derrick Henry,Running back,,,[99],2018.0,,,,,,,,NR,,"- First player to record a 200+ yard and 4+ touchdown game on fewer than 
   22 carries[7]
   - Second player in NFL history to record a 99-yard rushing touchdown[7]",Tennessee Titans,,
100,Eric Weddle,Free safety,,,[100],2018.0,,,,,,,,NR,,- 6th Pro Bowl selection[8],Baltimore Ravens,Los Angeles Rams,
1,Lamar Jackson,Quarterback,,,[1],2019.0,,,,,,,,NR,,"- AP MVP
   - 1st Pro Bowl selection
   - 1st First-team All-Pro selection
   - NFL passing touchdowns leader (36)
   - Most rushing yards in a season by a quarterback (1,206)
   - Most rushing attempts by a quarterback in a season: 159
   - Most perfect passer ratings in a season (tied with Ben Roethlisberger): 
   2",,Baltimore Ravens,
2,Russell Wilson,Quarterback,,,[2],2019.0,,,,,,,,23,,"- 7th Pro Bowl selection
   - 1st Second-team All-Pro selection
   - 2nd consecutive season of having of a passer rating of 106+
   - 3rd consecutive season of 30+ passing touchdowns
   - Most 4th quarter comebacks in the league (4, tied with Jimmy Garoppolo 
   and Josh Allen)
   - Most game winning drives in the league (5, tied with Josh Allen)",,Seattle Seahawks,
3,Aaron Donald,Defensive tackle,,,[3],2019.0,,,,,,,,2,,"- 6th Pro Bowl selection
   - 5th First-team All-Pro selection
   - 3rd consecutive season of 11+ sacks, 15+ tackles for loss, 2+ forced 
   fumbles
   - 2nd consecutive season leading the league in tackles for loss (20)",,Los Angeles Rams,
4,Patrick Mahomes,Quarterback,,,[4],2019.0,,,,,,,,0,,"- Super Bowl LIVMVP
   - Super Bowl champion (1st time)
   - 2nd Pro Bowl selection
   - 2nd consecutive season of 4,000+ passing yards, 65%+ pass completion 
   percentage, 105+ passer rating",,Kansas City Chiefs,
5,Michael Thomas,Wide receiver,,,[5],2019.0,,,,,,,,8,,"- AP OPOY
   - 2nd First-team All-Pro selection
   - Most receptions in a season (149)
   - Led league in receiving yards (1,725)
   - 3rd most receiving touchdowns (9, tied)",,New Orleans Saints,
6,Christian McCaffrey,Running back,,,[6],2019.0,,,,,,,,36,,"- 1st Pro Bowl selection
   - 1st First-team All-Pro selection
   - Most receptions by a running back in a season (116)
   - 3rd most touchdowns on the season (15)
   - Most total touchdowns on the season (19, tied with Aaron Jones)
   - 3rd season of 1,000+ rushing yards and 1,000+ receiving yards in NFL 
   history (joining Marshall Faulk and Roger Craig)
   - 2nd consecutive season of 1,000+ rushing yards, 7+ rushing touchdowns, 
   100+ receptions, 800+ receiving yards",,Carolina Panthers,
7,George Kittle,Tight end,,,[7],2019.0,,,,,,,,22,,"- 2nd Pro Bowl selection
   - 1st First-team All-Pro selection
   - 2nd consecutive season of 85+ receptions, 1,000+ receiving yards, 5 
   touchdown receptions, 12+ yards per catch
   - Most receiving yards through first 3 seasons by a tight end (2,945)",,San Francisco 49ers,
8,DeAndre Hopkins,Wide receiver,,,[8],2019.0,,,,,,,,3,,"- 4th Pro Bowl selection
   - 3rd First-team All-Pro selection
   - 2nd consecutive season of 100+ receptions, 1,100+ receiving yards, 7+ 
   touchdown receptions",,Houston Texans,Arizona Cardinals
9,Stephon Gilmore,Cornerback,,,[9],2019.0,,,,,,,,13,,"- AP DPOY
   - 3rd Pro Bowl selection
   - 2nd First-team All-Pro selection
   - NFL interceptions co-leader (6, tied with Tre'Davious White and Anthony 
   Harris)
   - League leader in pass deflections (20)
   - 2nd consecutive season of 20 pass deflections",,New England Patriots,
10,Derrick Henry,Running back,,,[10],2019.0,,,,,,,,89,,"- 1st Pro Bowl selection
   - 1st Second-team All-Pro selection
   - NFL rushing yards leader (1,540)
   - NFL rushing touchdowns co-leader (16, tied with Aaron Jones)
   - Led the league with 303 rushing attempts
   - 2nd consecutive season of 215+ rushing attempts, 1,000+ rushing yards, 
   4.9+ yards per carry, 12+ rushing touchdowns",,Tennessee Titans,
11,Julio Jones,Wide receiver,,,[11],2019.0,,,,,,,,2,,"- 7th Pro Bowl selection
   - 3rd Second-team All-Pro selection
   - 2nd most receiving yards in the league (1,394, behind only |Michael 
   Thomas)
   - 2nd consecutive season of 99+ receptions, 1,300+ receiving yards, 6+ 
   touchdown receptions
   - 6th consecutive season of 1,300+ receiving yards",,Atlanta Falcons,
12,Drew Brees,Quarterback,,,[12],2019.0,,,,,,,,10,,"- 13th Pro Bowl selection
   - NFL completion percentage leader (74.3%)
   - 3rd consecutive season of leading the league in completion percentage
   - 4th consecutive season of completing 70%+ passing attempts
   - 5th consecutive season of 101+ passer rating
   - Most career touchdown passes (547 excluding playoffs as of 2019)
   - Highest single-game completion percentage in NFL history (96.7% vs Indianapolis 
   Colts)",,New Orleans Saints,
13,Bobby Wagner,Linebacker,,,[13],2019.0,,,,,,,,2,,"- 6th Pro Bowl selection
   - 5th First-team All-Pro selection
   - League leader in tackles (159)
   - 4th consecutive season of 130+ tackles",,Seattle Seahawks,
14,Tom Brady,Quarterback,,,[14],2019.0,,,,,,,,8,,"- 2nd All-time in passing touchdowns (541, behind only Drew Brees)
   - 3rd consecutive season of 370+ completed passes, 60%+ completion 
   percentage, 4,000+ passing yards",,New England Patriots,Tampa Bay Buccaneers
15,Chandler Jones,Outside linebacker,,,[15],2019.0,,,,,,,,NR,,"- 3rd Pro Bowl selection
   - 2nd First-team All-Pro selection
   - Led league in forced fumbles (8, tied with T. J. Watt)
   - 2nd in the league in sacks (19, only behind Shaquil Barrett)",,Arizona Cardinals,
16,Aaron Rodgers,Quarterback,,,[16],2019.0,,,,,,,,8,,"- 8th Pro Bowl selection
   - 2nd consecutive season of 6:1 or greater touchdown to interception 
   ratio
   - Lowest interception ratio in the league (0.7%)",,Green Bay Packers,
17,Nick Bosa,Defensive end,,,[17],2019.0,,,,,,,,NR,,"- AP NFL Defensive Rookie of the Year
   - 1st Pro Bowl selection
   - 13 sacks, 25 quarterback hits, 16 tackles for loss, 2 forced fumbles, 
   2 fumble recoveries, 1 interception (including playoffs)",,San Francisco 49ers,
18,Travis Kelce,Tight end,,,[18],2019.0,,,,,,,,3,,"- Super Bowl champion (1st time)
   - 5th Pro Bowl selection
   - 2nd Second-team All-Pro selection
   - Most receiving yards by a tight end as well as 4th most receiving 
   yards in the league (1,229)
   - 1st tight end in NFL history with 4 consecutive seasons of 1,000+ 
   receiving yards",,Kansas City Chiefs,
19,Khalil Mack,Outside linebacker,,,[19],2019.0,,,,,,,,16,,"- 5th Pro Bowl selection
   - 2nd consecutive season of 8+ sacks, 5+ forced fumbles",,Chicago Bears,
20,Deshaun Watson,Quarterback,,,[20],2019.0,,,,,,,,31,,"- 2nd Pro Bowl selection
   - 2nd consecutive season of 67%+ completion percentage, 98+ passer 
   rating, 3,500+ passing yards, 25+ passing touchdowns, 400+ rushing yards, 
   5+ rushing touchdowns",,Houston Texans,
21,Dalvin Cook,Running back,,,[21],2019.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - 4th most rushing touchdowns in the league (13)",,Minnesota Vikings,
22,Tyreek Hill,Wide receiver,,,[22],2019.0,,,,,,,,3,,"- Super Bowl champion (1st time)
   - 4th Pro Bowl selection
   - Caught 9 passes for 105 yards in Super Bowl LIV",,Kansas City Chiefs,
23,Cameron Jordan,Defensive end,,,[23],2019.0,,,,,,,,18,,"- 5th Pro Bowl selection
   - 2nd Second-team All-Pro selection
   - 3rd most sacks in the league (15.5)
   - 3rd consecutive season with 12+ sacks
   - 5th consecutive season with 15+ tackles for loss",,New Orleans Saints,
24,Ezekiel Elliott,Running back,,,[24],2019.0,,,,,,,,6,,"- 3rd Pro Bowl selection
   - 4th most rushing yards in the league (1,357)
   - 5th most rushing touchdowns in the league (12, tied with Todd Gurley)
   - 2nd consecutive season with 300+ carries, 1,300+ rushing yards, 50+ 
   receptions, 400+ receiving yards",,Dallas Cowboys,
25,T. J. Watt,Outside linebacker,,,[25],2019.0,,,,,,,,68,,"- 2nd Pro Bowl selection
   - 1st First-team All-Pro selection
   - 1st Second-team All-Pro selection
   - 5th most sacks in the league (14.5)
   - 3rd most quarterback hits (36, behind only Za'Darius Smith and Shaquil 
   Barrett)
   - Led the league in forced fumbles (8, tied with Chandler Jones)
   - 2nd consecutive season of 13+ sacks, 20+ quarterback hits, 12+ tackles 
   for loss, 6+ forced fumbles",,Pittsburgh Steelers,
26,Von Miller,Outside linebacker,,,[26],2019.0,,,,,,,,16,,"- 8th Pro Bowl selection
   - 8 sacks, 10 tackles for loss, 20 quarterback hits",,Denver Broncos,
27,Jamal Adams,Safety,,,[27],2019.0,,,,,,,,10,,"- 2nd Pro Bowl selection
   - 1st First-team All-Pro selection
   - Led Jets in tackles for loss (10, tied with Steve McLendon) and 
   quarterback hits (13, tied with Jordan Jenkins)
   - 2nd on Jets in sacks (6.5, behind only Jordan Jenkins)
   - Most sacks, quarterback hits, and tackles for loss of any defensive 
   back for the season",,New York Jets,Seattle Seahawks
28,Richard Sherman,Cornerback,,,[28],2019.0,,,,,,,,NR,,"- 5th Pro Bowl selection
   - 2nd Second-team All-Pro selection
   - 60+ tackles, 10+ pass deflections, 3 interceptions, 1 touchdown
   - 1 of 2 cornerbacks to concede <50% in 250+ targets.",,San Francisco 49ers,
29,Quenton Nelson,Guard,,,[29],2019.0,,,,,,,,NR,,"- 2nd Pro Bowl selection
   - 2nd 1st-team All-Pro selection
   - 0 sacks conceded, 1 rushing touchdown overturned as FB.",,Indianapolis Colts,
30,Mike Evans,Wide receiver,,,[30],2019.0,,,,,,,,23,,"- 3rd Pro Bowl selection
   - 6th consecutive season of 1,000+ yards receiving to begin a career 
   (tied with Randy Moss)",,Tampa Bay Buccaneers,
31,Saquon Barkley,Running back,,,[31],2019.0,,,,,,,,15,,"- 2nd consecutive season of 1,000+ rushing yards, 6+ rushing touchdowns, 
   4.5+ yards per carry, 50+ receptions, 400+ receiving yards, 2+ receiving 
   touchdowns
   - Only running back in Giants franchise history to begin a career with 
   consecutive seasons of 1,000+ yards rushing",,New York Giants,
32,Shaquil Barrett,Outside linebacker,,,[32],2019.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - 1st Second-team All-Pro selection
   - NFL sacks leader (19.5)
   - Tied with Za'Darius Smith for league lead in quarterback hits (37)
   - 2nd in tackles for loss behind Aaron Donald (19)
   - 1st season of 10+ sacks",,Tampa Bay Buccaneers,
33,Aaron Jones,Running back,,,[33],2019.0,,,,,,,,NR,,"- NFL rushing touchdowns co-leader (16, tied with Derrick Henry)
   - Most total touchdowns by a non-quarterback in the season (19, tied 
   with Christian McCaffrey)",,Green Bay Packers,
34,Joey Bosa,Defensive end,,,[34],2019.0,,,,,,,,22,,"- 2nd Pro Bowl selection
   - 9th most sacks in the league (11.5, tied)
   - 5th most quarterback hits in the league (31)",,Los Angeles Chargers,
35,Minkah Fitzpatrick,Safety,,,[35],2019.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - 1st First-team All-Pro selection
   - Most total takeaways in the league (8, 5 interceptions and 3 fumble 
   recoveries)",,Miami Dolphins / Pittsburgh Steelers,Pittsburgh Steelers
36,Nick Chubb,Running back,,,[36],2019.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - 2nd most rushing yards in the league (1,394)
   - 1st 1,000+ yard rushing season
   - 2nd consecutive season with 5+ yards per carry and 8 rushing touchdowns
   - 1st Browns running back since Peyton Hillis in 2010 to rush for 1,000+ 
   yards in a season",,Cleveland Browns,
37,Jalen Ramsey,Cornerback,,,[37],2019.0,,,,,,,,10,,"- 3rd Pro Bowl selection
   - Only allowed 1 touchdown when targeted all season",,Jacksonville Jaguars / Los Angeles Rams,Los Angeles Rams
38,Chris Godwin,Wide receiver,,,[38],2019.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - 1st Second-team All-Pro selection
   - 3rd most receiving yards on the season (1,333)
   - 1st season of 1,000+ receiving yards
   - 3rd most receiving touchdowns (9, tied)
   - Most receptions of 20+ yards in the league (25)",,Tampa Bay Buccaneers,
39,Tyrann Mathieu,Safety,,,[39],2019.0,,,,,,,,NR,,"- Super Bowl champion (1st time)
   - 2nd First-team All-Pro selection
   - 1st Second-team All-Pro selection
   - Team MVP
   - 3rd consecutive season with 75+tackles, 1+ sacks, 2+ interceptions, 7+ 
   pass defensed",,Kansas City Chiefs,
40,Danielle Hunter,Defensive end,,,[40],2019.0,,,,,,,,17,,"- 2nd Pro Bowl selection
   - 4th most sacks in the league (14.5, tied with T. J. Watt)
   - 2nd consecutive season of 70+ tackles, 14.5 sacks, 15+ tackles for loss",,Minnesota Vikings,
41,Jadeveon Clowney,Defensive end,,,[41],2019.0,,,,,,,,22,,"- 3 sacks, 13 quarterback hits, 30 pressures, 4 forced fumbles, 2 fumble 
   recoveries, 1 fumble return touchdown, 1 interception, 1 interception 
   return touchdown",,Seattle Seahawks,Tennessee Titans
42,Alvin Kamara,Running back,,,[42],2019.0,,,,,,,,28,,"- 3rd Pro Bowl selection
   - 3rd consecutive season with 700+ yards rushing, 5+ rushing touchdowns, 
   81 receptions, 500+ receiving yards",,New Orleans Saints,
43,Jimmy Garoppolo,Quarterback,,,[43],2019.0,,,,,,,,NR,,"- 1st season starting 16 games
   - 2nd highest completion percentage in the league among 16 game starting 
   quarterbacks (69.1)
   - 5th most passing touchdowns in the league (27, tied with Drew Brees 
   and Carson Wentz)
   - Most 4th quarter comebacks in the league (4, tied with Josh Allen and Russell 
   Wilson)",,San Francisco 49ers,
44,Mark Ingram II,Running back,,,[44],2019.0,,,,,,,,36,,"- 3rd Pro Bowl selection
   - 7th most rushing touchdowns in the league (10)
   - 3rd most total touchdowns by a non-quarterback in the season (15, 10 
   rushing touchdowns and 5 receiving touchdowns)",,Baltimore Ravens,
45,J. J. Watt,Defensive end,,,[45],2019.0,,,,,,,,33,,,,Houston Texans,
46,Dak Prescott,Quarterback,,,[46],2019.0,,,,,,,,NR,,"- 2nd most passing yards in the season (4,902)
   - 4th most passing touchdowns in the season (30)
   - 4th consecutive season completing 65%+ of throws
   - First Cowboys player to throw for 4500+ yards and 30+ touchdowns in a 
   season",,Dallas Cowboys,
47,Tre'Davious White,Cornerback,,,[47],2019.0,,,,,,,,NR,,"- First Pro Bowl selection
   - 1st First-team All-Pro selection
   - NFL interceptions co-leader (6, tied with Stephon Gilmore and Anthony 
   Harris)
   - 0 touchdowns allowed when targeted during the season",,Buffalo Bills,
48,Za'Darius Smith,Outside linebacker,,,[48],2019.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - Led NFL in total pressures (93)
   - Led NFL in total disruptions (84)
   - Led NFL in hurries (60)
   - Tied with Shaquil Barrett for league lead in quarterback hits (37)",,Green Bay Packers,
49,Amari Cooper,Wide receiver,,,[49],2019.0,,,,,,,,15,,"- 4th Pro Bowl selection
   - 9th most receiving touchdowns (9, tied)
   - 8th most receiving yards (1,189)",,Dallas Cowboys,
50,Shaquille Leonard,Linebacker,,,[50],2019.0,,,,,,,,24,,"- First Pro Bowl selection
   - First Second-team All-Pro selection
   - Most interceptions amongst linebackers (5, with an interception for 
   touchdown)
   - 2nd consecutive season with 121+ tackles, 5+ sacks, 7+ passes 
   defensed, 2+ forced fumbles",,Indianapolis Colts,
51,Todd Gurley,Running back,,,[51],2019.0,,,,,,,,46,,"- First-ever Rams player to score 12+ rushing touchdowns in 3 
   consecutive seasons
   - 5th most rushing touchdowns in the season (12, tied with Ezekiel 
   Elliott)",,Los Angeles Rams,Atlanta Falcons
52,Chris Jones,Defensive tackle,,,[52],2019.0,,,,,,,,16,,"- 1st Pro Bowl selection
   - Super Bowl champion (1st time)
   - 2nd most sacks among defensive tackles in the season (9, behind only Jordan 
   Phillips)",,Kansas City Chiefs,
53,Marcus Peters,Cornerback,,,[53],2019.0,,,,,,,,NR,,"- 3rd Pro Bowl selection
   - 2nd Second-team All-Pro selection
   - 4th season with 5+ interceptions",,Los Angeles Rams / Baltimore Ravens,Baltimore Ravens
54,Stefon Diggs,Wide receiver,,,[54],2019.0,,,,,,,,19,,"- 2nd consecutive season with 1000+ receiving yards, 60+ rushing yards",,Minnesota Vikings,Buffalo Bills
55,Zack Martin,Guard,,,[55],2019.0,,,,,,,,4,,"- 6th consecutive Pro Bowl selection
   - 4th First-team All-Pro selection
   - 1 Holding penalty conceded, 4 in 4 seasons.",,Dallas Cowboys,
56,DeForest Buckner,Defensive tackle,,,[56],2019.0,,,,,,,,NR,,"- 3rd Second-team All-Pro selection
   - 3 forced fumbles, 5 fumble recoveries, 10 sacks (including playoffs)",,San Francisco 49ers,Indianapolis Colts
57,Davante Adams,Wide receiver,,,[57],2019.0,,,,,,,,22,,"- 2nd Pro Bowl selection
   - 2nd season with 997 receiving yards (2016)
   - Most touchdowns in a 4-year span (40)",,Green Bay Packers,
58,Kirk Cousins,Quarterback,,,[58],2019.0,,,,,,,,20,,"- 2nd Pro Bowl selection
   - 5th consecutive season with 3600+ passing yards, 25+ touchdowns",,Minnesota Vikings,
59,Odell Beckham Jr.,Wide receiver,,,[59],2019.0,,,,,,,,36,,- 2nd consecutive season with 1000+ receiving yards,,Cleveland Browns,
60,Logan Ryan,Cornerback,,,[60],2019.0,,,,,,,,NR,,"- Most tackles amongst cornerbacks (113)
   - Career highs in tackles, sacks (4.5), passes defensed (18, 2nd 
   overall) and forced fumbles (4)",,Tennessee Titans,New York Giants
61,Jarvis Landry,Wide receiver,,,[61],2019.0,,,,,,,,23,,"- 5th consecutive Pro Bowl selection
   - Most receptions through first 6 seasons of career (564)
   - 6th consecutive season with 81+ receptions, 750+ yards, 4+ touchdowns",,Cleveland Browns,
62,David Bakhtiari,Offensive tackle,,,[62],2019.0,,,,,,,,19,,"- 2nd Pro Bowl selection
   - 3rd Second-team All-Pro selection",,Green Bay Packers,
63,Preston Smith,Outside linebacker,,,[63],2019.0,,,,,,,,NR,,- First 10+ sack season,,Green Bay Packers,
64,Harrison Smith,Safety,,,[64],2019.0,,,,,,,,19,,"- 5th Pro Bowl selection
   - 3rd consecutive season with 78+ tackles, 1+ sacks, 6+ passes defensed, 
   3+interceptions",,Minnesota Vikings,
65,Tyler Lockett,Wide receiver,,,[65],2019.0,,,,,,,,33,,"- 1st 1000+ receiving yard season
   - 2nd consecutive season with 8+ receiving touchdowns",,Seattle Seahawks,
66,Laremy Tunsil,Offensive tackle,,,[66],2019.0,,,,,,,,NR,,"- 1st Pro Bowl selection, first Texan offensive lineman since Duane Brown 
   (2014)
   - 3 sacks conceded",,Houston Texans,
67,Demario Davis,Linebacker,,,[67],2019.0,,,,,,,,NR,,"- 1st First-team All-Pro selection
   - 12 passes defensed, tied most amongst linebackers (Luke Kuechly)
   - 3rd consecutive season with 100+ tackles, 4+ sacks",,New Orleans Saints,
68,Ryan Tannehill,Quarterback,,,[68],2019.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - NFL Comeback Player of the Year (2019)
   - 1st time as NFL passer rating leader (117.5)",,Tennessee Titans,
69,Larry Fitzgerald,Wide receiver,,,[69],2019.0,,,,,,,,9,,"- No.2 All-time receptions leader
   - No. 6 All-time receiving touchdowns leader
   - 0 dropped catches when targeted in 2019
   - 16th consecutive season with 58+ receptions, 730+ yards, 4+ touchdowns",,Arizona Cardinals,
70,Fred Warner,Linebacker,,,[70],2019.0,,,,,,,,NR,,"- 2nd consecutive season with 118+ tackles, 6+ passes defensed, 1+ 
   forced fumble",,San Francisco 49ers,
71,Jurrell Casey,Defensive tackle,,,[71],2019.0,,,,,,,,21,,"- 5th consecutive Pro Bowl selection
   - 9th consecutive season with 52+ tackles, 3+ sacks",,Tennessee Titans,Denver Broncos
72,Josh Jacobs,Running back,,,[72],2019.0,,,,,,,,NR,,"- PFWA All-Rookie Team
   - First rookie to record 100 total yards and 2 touchdowns on debut since LaDainian 
   Tomlinson
   - First ever rookie Raider to rush for 1000+ yards
   - 3rd most rushing yards per game (Derrick Henry, Nick Chubb)",,Oakland / Las Vegas Raiders,
73,Fletcher Cox,Defensive tackle,,,[73],2019.0,,,,,,,,45,,- 5th consecutive Pro Bowl selection,,Philadelphia Eagles,
74,Ronnie Stanley,Offensive tackle,,,[74],2019.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - 1st First-team All-Pro selection",,Baltimore Ravens,
75,Earl Thomas,Free safety,,,[75],2019.0,,,,,,,,NR,,- 7th Pro Bowl selection,,Baltimore Ravens,Free Agent
76,Marshon Lattimore,Cornerback,,,[76],2019.0,,,,,,,,NR,,"- 2nd Pro Bowl selection
   - 3rd consecutive season with 43+ tackles, 12 passes defensed, 1+ 
   interception",,New Orleans Saints,
77,Keenan Allen,Wide receiver,,,[77],2019.0,,,,,,,,39,,"- 3rd consecutive Pro Bowl selection
   - 3rd consecutive season with 97+ receptions, 1195+ yards, 6 touchdowns",,Los Angeles Chargers,
78,Tyron Smith,Offensive tackle,,,[78],2019.0,,,,,,,,26,,- 7th consecutive Pro Bowl selection,,Dallas Cowboys,
79,Calais Campbell,Defensive end,,,[79],2019.0,,,,,,,,25,,"- 5th Pro Bowl selection
   - 2019 Walter Payton NFL Man of the Year
   - 11th consecutive season with 48+ tackles, 5+ sacks, 2+ passes defensed",,Jacksonville Jaguars,Baltimore Ravens
80,Myles Garrett,Defensive end,,,[80],2019.0,,,,,,,,31,,- 2nd consecutive season with 10+ sacks and 2 forced fumbles,,Cleveland Browns,
81,DK Metcalf,Wide receiver,,,[81],2019.0,,,,,,,,NR,,- Most receiving yards by rookie in a playoff game (160 yards),,Seattle Seahawks,
82,Ryan Ramczyk,Offensive tackle,,,[82],2019.0,,,,,,,,NR,,"- 1st First-team All-Pro selection
   - Conceded 20 total QB pressures (0 sacks) out of 659 passing snaps",,New Orleans Saints,
83,Eric Kendricks,Linebacker,,,[83],2019.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - 1st First-team All-Pro selection
   - 4th consecutive season with 108+ tackles, 6+ passes defensed",,Minnesota Vikings,
84,Cameron Heyward,Defensive tackle,,,[84],2019.0,,,,,,,,4,,"- 3rd consecutive Pro Bowl selection
   - 2nd First-team All-Pro selection
   - 3rd consecutive season with 8+sacks, 1 forced fumble, 1 fumble 
   recovery, 3+ passes defensed",,Pittsburgh Steelers,
85,Zach Ertz,Tight end,,,[85],2019.0,,,,,,,,45,,"- 3rd consecutive Pro Bowl selection
   - 4th consecutive season with 74+ receptions, 810+ yards and 4 touchdowns",,Philadelphia Eagles,
86,Marlon Humphrey,Cornerback,,,[86],2019.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - 1st First-team All-Pro selection
   - 2nd consecutive season with 15 passes defensed and 2+ interceptions",,Baltimore Ravens,
87,Josh Allen,Quarterback,,,[87],2019.0,,,,,,,,NR,,"- Most rushing touchdowns amongst quarterbacks (9)
   - 3rd most rushing yards amongst quarterbacks (510 yards, Lamar Jackson, 
   Kyler Murray)
   - Most fourth-quarter comebacks in the season (4, tied with Jimmy 
   Garoppolo and Russell Wilson)
   - Most game winning drives in the season (5, tied with Russell Wilson)",,Buffalo Bills,
